Ingredients,Potential Allergies,Potential Diseases,Halal/Haram
Egg Country Hen Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Country Hen Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Country Hen Omlet,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Duck Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Duck Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Duck Whole Omlet,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Quial Whole Raw,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Egg Quial Whole Boiled,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Chicken Poultry Leg Skinless,Poultry Allergy,Gout,Halal
Chicken Poultry Thigh Skinless,Poultry Allergy,Gout,Halal
Chicken Poultry Breast Skinless,Poultry Allergy,Gout,Halal
Chicken Poultry Wing Skinless,Poultry Allergy,Gout,Halal
Poultry Chicken Liver,Poultry Allergy,Gout,Halal
Poultry Chicken Gizzard,Poultry Allergy,Gout,Halal
Country Hen Leg With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Country Hen Thigh With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Country Hen Breast With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Country Hen Wing With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Duck Meat With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Emu Meat Skinless,Poultry Allergy,No Potential Diseases Detected,Halal
Guinea Fowl Meat With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Pigeon Meat With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Quail Meat Skinless,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Leg With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Thigh With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Breast With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Turkey Wing With Skin,Poultry Allergy,No Potential Diseases Detected,Halal
Goat Shoulder,Animal Protein Allergy,Hypertension,Halal
Goat Chops,Animal Protein Allergy,Hypertension,Halal
Goat Legs,Animal Protein Allergy,Hypertension,Halal
Goat Brain,Animal Protein Allergy,Hypertension,Halal
Goat Tongue,Animal Protein Allergy,Hypertension,Halal
Goat Lungs,Animal Protein Allergy,Hypertension,Halal
Goat Heart,Animal Protein Allergy,Hypertension,Halal
Goat Liver,Animal Protein Allergy,Hypertension,Halal
Goat Tripe,Animal Protein Allergy,Hypertension,Halal
Goat Spleen,Animal Protein Allergy,Hypertension,Halal
Goat Kidneys,Animal Protein Allergy,Hypertension,Halal
Goat Tube,Animal Protein Allergy,Hypertension,Halal
Goat Testis,Animal Protein Allergy,Hypertension,Halal
Sheep Shoulder,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Chops,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Leg,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Brain,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Tongue,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Lungs,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Heart,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Liver,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Tripe,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Spleen,Animal Protein Allergy,No Potential Diseases Detected,Halal
Sheep Kidneys,Animal Protein Allergy,No Potential Diseases Detected,Halal
Beef Shoulder,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Chops,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Round,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Brain,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Tongue,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Lungs,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Heart,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Liver,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Tripe,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Spleen,Animal Protein Allergy,"Hypertension, Gout",Halal
Beef Kidneys,Animal Protein Allergy,"Hypertension, Gout",Halal
Calf Shoulder,Animal Protein Allergy,"Hypertension, Gout",Halal
Calf Chops,Animal Protein Allergy,"Hypertension, Gout",Halal
Calf Round,Animal Protein Allergy,"Hypertension, Gout",Halal
Calf Brain,Animal Protein Allergy,No Potential Diseases Detected,Halal
Calf Tongue,Animal Protein Allergy,"Hypertension, Gout",Halal
Calf Heart,Animal Protein Allergy,No Potential Diseases Detected,Halal
Calf Liver,Animal Protein Allergy,No Potential Diseases Detected,Halal
Calf Spleen,Animal Protein Allergy,"Hypertension, Gout",Halal
Calf Kidneys,Animal Protein Allergy,"Hypertension, Gout",Halal
Mithun Shoulder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mithun Chops,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mithun Round,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pork Shoulder,No Potential Allergies Detected,Gout,Haram
Pork Chops,No Potential Allergies Detected,Gout,Haram
Pork Ham,No Potential Allergies Detected,Gout,Haram
Pork Lungs,No Potential Allergies Detected,Gout,Haram
Pork Heart,No Potential Allergies Detected,Gout,Haram
Pork Liver,No Potential Allergies Detected,Gout,Haram
Pork Stomach,No Potential Allergies Detected,Gout,Haram
Pork Spleen,No Potential Allergies Detected,Gout,Haram
Pork Kidneys,No Potential Allergies Detected,Gout,Haram
Pork Tube,No Potential Allergies Detected,Gout,Haram
Hare Shoulder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Hare Chops,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Hare Leg,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rabbit Shoulder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rabbit Chops,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rabbit Leg,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Anchovy,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ari Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Betki,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Black Snapper,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bombay Duck,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chembali,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Eri Meen,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Guitar Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Hilsa,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Jathi Vela Meen,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kadal Bral,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kadali,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kalamaara,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kannadi Paarai,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Karimeen,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kite Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Korka,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kulam Paarai,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Noaa,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mackerel,No Potential Allergies Detected,Gout,Halal
Milk Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Moon Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mullet,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Mural,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Myil Meen,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Parrot Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Piranha,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pomfret Black,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pomfret Snub Noe,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pomfret White,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Queen Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ray Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ray Fish Bow Head Spotted,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Red Snapper,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Salmon,Seafood Allergy,No Potential Diseases Detected,Halal
Paarai Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sardine,Seafood Allergy,"Cholesterol, Gout",Halal
Shark,No Potential Allergies Detected,Gout,Halal
Shark Hammer Head,No Potential Allergies Detected,Gout,Halal
Shark Spotted,No Potential Allergies Detected,Gout,Halal
Sheela Fish,No Potential Allergies Detected,Gout,Halal
Silk Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Silver Carp,No Potential Allergies Detected,Gout,Halal
Sole Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Stingray,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tilapia,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tuna,Seafood Allergy,Gout,Halal
Tuna Striped,Seafood Allergy,Gout,Halal
Vanjaram,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Vela Meen,Seafood Allergy,No Potential Diseases Detected,Halal
Whale Shark,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Crab,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Crab Sea,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Lobster Brown,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Lobster King Size,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Mud Crab,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Oyster,Seafood Allergy,"Hypertension, Gout",Halal
Tiger Prawns Brown,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Tiger Prawns Orange,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Clam Green Shell,Seafood Allergy,"Hypertension, Gout",Halal
Clam White Shell Ribbed,Seafood Allergy,"Hypertension, Gout",Halal
Octopus,Seafood Allergy,No Potential Diseases Detected,Halal
Squid Black,Seafood Allergy,"Hypertension, Gout",Halal
Squid Hard Shell,Seafood Allergy,"Hypertension, Gout",Halal
Squid Red,Seafood Allergy,"Hypertension, Gout",Halal
Squid White Small,Seafood Allergy,"Hypertension, Gout",Halal
Catla Fish,Seafood Allergy,Gout,Halal
Freshwater Eel,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Gold Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pangasius,Seafood Allergy,No Potential Diseases Detected,Halal
Rohu,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Prawns,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Tiger Prawns,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Buttermilk,Milk Allergy and Lactose Intolerance,Diabetes,Halal
Fortified Milk,Milk Allergy and Lactose Intolerance,Diabetes,Halal
Milk Powder,Milk Allergy and Lactose Intolerance,Diabetes,Halal
Goats' Milk,Milk Allergy and Lactose Intolerance,Cholesterol,Halal
Cocoa,No Potential Allergies Detected,Hypertension,Halal
Skim Milk,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Cornstarch,No Potential Allergies Detected,Diabetes,Halal
Ice Cream,Milk Allergy and Lactose Intolerance,Diabetes,Halal
Cheese,Milk Allergy and Lactose Intolerance,"Cholesterol, Hypertension, Gout",Halal
Cheddar,Milk Allergy and Lactose Intolerance,"Cholesterol, Hypertension, Gout",Halal
Cream Cheese,Milk Allergy and Lactose Intolerance,"Cholesterol, Hypertension, Gout",Halal
Processed Cheese,Milk Allergy and Lactose Intolerance,"Cholesterol, Hypertension, Gout",Halal
Butter,Milk Allergy and Lactose Intolerance,Cholesterol,Halal
Lard,No Potential Allergies Detected,"Cholesterol, Hypertension, Gout",Haram
Margarine,No Potential Allergies Detected,Cholesterol,Halal
Mayonnaise,No Potential Allergies Detected,Cholesterol,Halal
Corn Oil,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Olive Oil,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Safflower Seed Oil,No Potential Allergies Detected,Diabetes,Halal
French Dressing,No Potential Allergies Detected,Cholesterol,Halal
Thousand Island Sauce,No Potential Allergies Detected,Cholesterol,Halal
Salt Pork,No Potential Allergies Detected,"Cholesterol, Hypertension, Gout",Haram
Bacon,No Potential Allergies Detected,"Cholesterol, Hypertension, Gout",Haram
Hamburger,Gluten Allergy,"Cholesterol, Hypertension, Gout",Halal
Ground Lean,Animal Protein Allergy,"Cholesterol, Gout",Halal
Steak,Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Halal
"Steak, Lean, As Round",Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Halal
Corned Beef,Animal Protein Allergy,"Hypertension, Gout",Halal
Pot-Pie,Gluten Allergy,"Cholesterol, Hypertension, Gout",Halal
Roasted Chicken,Poultry Allergy,"Cholesterol, Gout",Halal
Fried Chicken Livers,Poultry Allergy,"Cholesterol, Gout",Halal
Broiled Lamb Chop,Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Halal
Ham Pan-Broiled,Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Haram
Pork Roast,Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Haram
Pork Sausage,Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Haram
Veal,Animal Protein Allergy,"Cholesterol, Hypertension, Gout",Halal
Herring,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Oyster Stew,Seafood Allergy,"Cholesterol, Hypertension, Gout",Halal
Shad,No Potential Allergies Detected,Gout,Halal
Artichoke,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Red Kidney,Legume Allergy,Gout,Halal
Bean Sprouts,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sauerkraut,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Steamed Cabbage,No Potential Allergies Detected,Gout,Halal
Stalk Raw,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chard Steamed,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Collards,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Corn,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cucumbers,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Dandelion Greens,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Eggplant,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Endive,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Kale,No Potential Allergies Detected,Cholesterol,Halal
Kohlrabi,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Lentils,Legume Allergy,No Potential Diseases Detected,Halal
Mushrooms Canned,No Potential Allergies Detected,Gout,Halal
Mustard Greens,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Okra,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Parsnips,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Frozen Peas,Legume Allergy,No Potential Diseases Detected,Halal
Baked Potatoes,No Potential Allergies Detected,Diabetes,Halal
Mashed Potatoes,No Potential Allergies Detected,Cholesterol,Halal
Scalloped With Cheese Potatoes,Milk Allergy and Lactose Intolerance,"Cholesterol, Gout",Halal
Steamed Potatoes,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Potato Chips,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Rutabagas,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Soybeans,No Potential Allergies Detected,Gout,Halal
Ketchup,No Potential Allergies Detected,Hypertension,Halal
Turnip Greens,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Watercress ,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple Juice Canned,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apple Vinegar,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Apricots,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Blueberries,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Fruit Cocktail Canned,No Potential Allergies Detected,Diabetes,Halal
Lemonade,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Olives ,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Orange Juice,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Persimmons,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pineapple Juice,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Prunes,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Prune Juice,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Raspberries,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Biscuits,Gluten Allergy,Diabetes,Halal
Bread,Gluten Allergy,Diabetes,Halal
Rye,Gluten Allergy,No Potential Diseases Detected,Halal
Spicy Peppers,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Salt,No Potential Allergies Detected,Hypertension,Halal
Sugar,No Potential Allergies Detected,Diabetes,Halal
Caviar,Seafood Allergy,Cholesterol,Halal
Sago Flour,Gluten Allergy,No Potential Diseases Detected,Halal
Oyster Sauce,Seafood Allergy,"Hypertension, Gout",Halal
Fish Sauce,No Potential Allergies Detected,Hypertension,Halal
Chicken Breast,Poultry Allergy,Gout,Halal
Ice Water,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cornflakes,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Corn Grits,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Corn Meal,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Crackers,Gluten Allergy,No Potential Diseases Detected,Halal
Soda,No Potential Allergies Detected,Diabetes,Halal
Farina,No Potential Allergies Detected,Diabetes,Halal
Flour,Gluten Allergy,No Potential Diseases Detected,Halal
All Purpose Wheat,Gluten Allergy,No Potential Diseases Detected,Halal
Macaroni,Gluten Allergy,No Potential Diseases Detected,Halal
Muffins,Gluten Allergy,Diabetes,Halal
Noodles,Gluten Allergy,No Potential Diseases Detected,Halal
Oatmeal,Gluten Allergy,No Potential Diseases Detected,Halal
Pancakes ,Gluten Allergy,Diabetes,Halal
Pizza ,Gluten Allergy,No Potential Diseases Detected,Halal
Popcorn Salted,No Potential Allergies Detected,Diabetes,Halal
Rice,No Potential Allergies Detected,Diabetes,Halal
Rice Flakes,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Spaghetti With Meat Sauce,Gluten Allergy,No Potential Diseases Detected,Halal
Spanish Rice,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Waffles,Gluten Allergy,Diabetes,Halal
Wheat Germ,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat-Germ Cereal Toasted,Gluten Allergy,No Potential Diseases Detected,Halal
Wheat Meal Cereal Unrefined,Gluten Allergy,No Potential Diseases Detected,Halal
Bean Soups,Legume Allergy,Gout,Halal
Beef Soup,Animal Protein Allergy,"Hypertension, Gout",Halal
Bouillon,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chicken Soup,Poultry Allergy,"Cholesterol, Gout",Halal
Clam Chowder,Seafood Allergy,"Cholesterol, Gout",Halal
Cream Soups,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Tomato Soup,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Bread Pudding,Gluten Allergy,Diabetes,Halal
Cakes,Gluten Allergy,Diabetes,Halal
Chocolate Fudge,Gluten Allergy,Diabetes,Halal
Cupcake,Gluten Allergy,Diabetes,Halal
Fruit Cake,Gluten Allergy,Diabetes,Halal
Gingerbread,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sponge Cake,Gluten Allergy,Diabetes,Halal
Candy,Gluten Allergy,Diabetes,Halal
Chocolate Creams,Milk Allergy and Lactose Intolerance,Diabetes,Halal
Marshmallows,No Potential Allergies Detected,Diabetes,Halal
Milk Chocolate,Milk Allergy and Lactose Intolerance,Diabetes,Halal
Chocolate Syrup,No Potential Allergies Detected,Diabetes,Halal
Doughnuts,Gluten Allergy,Diabetes,Halal
Gelatin,No Potential Allergies Detected,Diabetes,Halal
Honey,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Jellies,No Potential Allergies Detected,Diabetes,Halal
Molasses,No Potential Allergies Detected,Diabetes,Halal
Cane Syrup,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cherry Pie,Gluten Allergy,No Potential Diseases Detected,Halal
Custard,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Pumpkin Pie,Gluten Allergy,No Potential Diseases Detected,Halal
Puddings Sugar,No Potential Allergies Detected,Diabetes,Halal
Brown Sugar,No Potential Allergies Detected,Diabetes,Halal
Syrup,No Potential Allergies Detected,Diabetes,Halal
Tapioca Cream Pudding,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Almonds,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Brazil Nuts,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Coconut Sweetened,No Potential Allergies Detected,Diabetes,Halal
Peanut Butter,No Potential Allergies Detected,Gout,Halal
Peanuts,No Potential Allergies Detected,Gout,Halal
Pecans,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sesame Seeds,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Beer,No Potential Allergies Detected,Diabetes,Haram
Wines,No Potential Allergies Detected,Diabetes,Haram
Carbonated Drinks Artificially Sweetened,No Potential Allergies Detected,Diabetes,Haram
Club Soda,No Potential Allergies Detected,Diabetes,Halal
Cola Drinks,No Potential Allergies Detected,Diabetes,Halal
Fruit-Flavored Soda,No Potential Allergies Detected,Diabetes,Halal
Ginger Ale,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Root Beer,No Potential Allergies Detected,Diabetes,Halal
Coffee,No Potential Allergies Detected,Hypertension,Halal
Tea,No Potential Allergies Detected,Hypertension,Halal
Sweet Popcorn,No Potential Allergies Detected,Diabetes,Halal
Pork Frankfurter Hot Dog,Gluten Allergy,Gout,Haram
Bread Roll Hot Dog,Gluten Allergy,No Potential Diseases Detected,Halal
Hombre Salsa,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cheese Sauce,Milk Allergy and Lactose Intolerance,Hypertension,Halal
Jalapeno Peppers,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Vegetable Oil,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cocoa Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Full Cream Milk,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Banana Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Emulsifier,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Banana Flavor,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sucrose,No Potential Allergies Detected,Diabetes,Halal
Natural Flavor,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Aspartame,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tartrazine,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Milk Proteins,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Flavor,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Flavor Enhancer,No Potential Allergies Detected,No Potential Diseases Detected,Halal
MoNoodium,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Glutamate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sodium Polyphosphate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Citric,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Disphosphate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Phosphate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Cheese Powder,Milk Allergy and Lactose Intolerance,Cholesterol,Halal
Mineral,No Potential Allergies Detected,No Potential Diseases Detected,Halal
"MoNoodium Glutamate, Msg",No Potential Allergies Detected,Hypertension,Halal
Antioxidants,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chicken Flavor,Poultry Allergy,No Potential Diseases Detected,Halal
Onion Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pepper Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Garlic Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Folic Acid,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Chili Powder,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Vegetable Oil,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Sodium Benzoate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Food Coloring,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Tea Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Potassium Sorbate,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Palm Sugar,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Ginger,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Pandan Leaves,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Natural Colorant Caramel,No Potential Allergies Detected,Diabetes,Halal
Tapioca Starch,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Palm Oil,No Potential Allergies Detected,Cholesterol,Halal
Caramel,No Potential Allergies Detected,Diabetes,Halal
Oil,No Potential Allergies Detected,Cholesterol,Halal
Raising agent,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Synthetic Flavour,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Soy,No Potential Allergies Detected,Gout,Halal
Wheat,Gluten Allergy,No Potential Diseases Detected,Halal
Maltodextrin,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Shortening,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Whey Powder,Milk Allergy and Lactose Intolerance,No Potential Diseases Detected,Halal
Nata de coco,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Egg,No Potential Allergies Detected,"Cholesterol, Gout",Halal
Fish,No Potential Allergies Detected,No Potential Diseases Detected,Halal
Fructose,No Potential Allergies Detected,Diabetes,Halal